17  3  3.43424
17  4  1.45246
17  5  0.202929
17  6  -0.376676
17  7  -2.1567
17  8  -3.7307
17  9  -5.1801
17  10  -6.56224
17  11  -7.91925
17  12  -9.28269
17  13  -10.6756
17  14  -12.1148
17  15  -13.6138
17  16  -15.1858
17  17  -16.8471
17  18  -18.6214
17  19  -20.5464
17  20  -22.6833
17  21  -25.1377
17  22  -28.1095
17  23  -32.0441
17  24  -38.3122
17  25  -60.6164
18  1  30.0103
18  2  7.62795
18  3  2.83768
18  4  0.449911
18  5  -1.1752
18  6  0.137711
18  7  -1.71772
18  8  -3.36013
18  9  -4.87421
18  10  -6.31924
18  11  -7.73944
18  12  -9.16696
18  13  -10.6255
18  14  -12.1324
18  15  -13.7014
18  16  -15.3459
18  17  -17.0828
18  18  -18.937
18  19  -20.9475
18  20  -23.1784
18  21  -25.7396
18  22  -28.8389
18  23  -32.9395
18  24  -39.4656
18  25  -62.6183
19  1  30.8483
19  2  7.46924
19  3  2.24714
19  4  -0.497847
19  5  -2.45167
19  6  0.448467
19  7  -1.47808
19  8  -3.18451
19  9  -4.75882
19  10  -6.26267
19  11  -7.74114
19  12  -9.22763
19  13  -10.7465
19  14  -12.3152
19  15  -13.9479
19  16  -15.6584
19  17  -17.4641
19  18  -19.3911
19  19  -21.4796
19  20  -23.7963
19  21  -26.4551
19  22  -29.6713
19  23  -33.9246
19  24  -40.6882
19  25  -64.623
20  1  31.5062
20  2  7.26283
20  3  1.67262
20  4  -1.37416
20  5  -3.60412
20  6  0.581069
20  7  -1.40848
20  8  -3.17196
20  9  -4.79988
20  10  -6.35548
20  11  -7.88535
20  12  -9.42379
20  13  -10.9952
20  14  -12.6179
20  15  -14.306
20  16  -16.0739
20  17  -17.9395
20  18  -19.9296
20  19  -22.0863
20  20  -24.4777
20  21  -27.2217
20  22  -30.5402
20  23  -34.927
20  24  -41.8989
20  25  -66.5207
21  1  32.0748
21  2  6.97734
21  3  1.02895
21  4  -2.30899
21  5  -4.80456
21  6  0.575129
21  7  -1.47802
21  8  -3.29911
21  9  -4.98082
21  10  -6.58842
21  11  -8.16984
21  12  -9.75971
21  13  -11.3837
21  14  -13.0598
21  15  -14.8028
21  16  -16.6275
21  17  -18.5524
21  18  -20.6052
21  19  -22.8292
21  20  -25.2949
21  21  -28.1234
21  22  -31.5436
21  23  -36.0639
21  24  -43.2434
21  25  -68.5507
22  1  32.5179
22  2  6.62573
22  3  0.348303
22  4  -3.25546
22  5  -5.99221
22  6  0.438909
22  7  -1.6746
22  8  -3.54998
22  9  -5.28262
22  10  -6.93937
22  11  -8.56919
22  12  -10.2075
22  13  -11.8804
22  14  -13.6065
22  15  -15.4009
22  16  -17.2785
22  17  -19.2588
22  18  -21.37
22  19  -23.6568
22  20  -26.1918
22  21  -29.0998
22  22  -32.6153
22  23  -37.26
22  24  -44.6344
22  25  -70.5854
23  1  32.8743
23  2  6.16822
23  3  -0.442026
23  4  -4.31301
23  5  -7.29142
23  6  0.162539
23  7  -2.01357
23  8  -3.94544
23  9  -5.73098
23  10  -7.43851
23  11  -9.11833
23  12  -10.8066
23  13  -12.5299
23  14  -14.3073
23  15  -16.1543
23  16  -18.0863
23  17  -20.1232
23  18  -22.2945
23  19  -24.6459
23  20  -27.2522
23  21  -30.2414
23  22  -33.8551
23  23  -38.6285
23  24  -46.2038
23  25  -72.8187
24  1  33.1207
24  2  5.61523
24  3  -1.31908
24  4  -5.4483
24  5  -8.65947
24  6  -0.247115
24  7  -2.48575
24  8  -4.47388
24  9  -6.31183
24  10  -8.06997
24  11  -9.7991
24  12  -11.5367
24  13  -13.3098
24  14  -15.1378
24  15  -17.0366
24  16  -19.0221
24  17  -21.1149
24  18  -23.3452
24  19  -25.7602
24  20  -28.4368
24  21  -31.5065
24  22  -35.2168
24  23  -40.1175
24  24  -47.8913
24  25  -75.1629
25  1  33.2552
25  2  4.98921
25  3  -2.25023
25  4  -6.62166
25  5  -10.0505
25  6  -0.764332
25  7  -3.0629
25  8  -5.1051
25  9  -6.99352
25  10  -8.79976
25  11  -10.5764
25  12  -12.3612
25  13  -14.1817
25  14  -16.058
25  15  -18.0061
25  16  -20.0425
25  17  -22.1884
25  18  -24.4749
25  19  -26.9505
25  20  -29.694
25  21  -32.8406
25  22  -36.6434
25  23  -41.6652
25  24  -49.6287
25  25  -77.5282
26  1  33.2905
26  2  4.26945
26  3  -3.2711
26  4  -7.88033
26  5  -11.5222
26  6  -14.9231
26  7  -3.75768
26  8  -5.85408
26  9  -7.79294
26  10  -9.64756
26  11  -11.4714
26  12  -13.3032
26  13  -15.1711
26  14  -17.0954
26  15  -19.0925
26  16  -21.1796
26  17  -23.3782
26  18  -25.7207
26  19  -28.2566
26  20  -31.0669
26  21  -34.2897
26  22  -38.1846
26  23  -43.3274
26  24  -51.4802
26  25  -80.0059
27  1  33.2326
27  2  3.47444
27  3  -4.35798
27  4  -9.19705
27  5  -13.0444
27  6  -16.6357
27  7  -4.54755
27  8  -6.6972
27  9  -8.68565
27  10  -10.5877
27  11  -12.4578
27  12  -14.3357
27  13  -16.2498
27  14  -18.2209
27  15  -20.266
27  16  -22.4024
27  17  -24.6527
27  18  -27.0496
27  19  -29.6445
27  20  -32.5199
27  21  -35.8174
27  22  -39.8024
27  23  -45.0635
27  24  -53.4014
27  25  -82.5399
28  1  33.081
28  2  2.56202
28  3  -5.57043
28  4  -10.6449
28  5  -14.702
28  6  -18.4881
28  7  -5.47115
28  8  -7.67586
28  9  -9.71577
28  10  -11.667
28  11  -13.5853
28  12  -15.5107
